ra,dec,koi_gmag,koi_disposition,koi_count,koi_num_transits,koi_max_mult_ev,koi_bin_oedp_sig,koi_ldm_coeff1,koi_model_snr,koi_prad,koi_impact,koi_duration,koi_depth,koi_dor,koi_incl,koi_teq,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_fwm_stat_sig,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_tce_plnt_num,koi_time0,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_insol,koi_srho
291.20804,45.244389,15.656,0,1,34.0,20.340858,0.8332,0.319,26.6,4.06,0.938,2.968,1012.6,44.7,88.8,577.0,6225.0,4.45,-0.12,1.031,1.091,0.555,-0.23,0.04,0.00041,0.00015,-0.07,0.05,0.09,1.0,2455006.312,0,0,0,0,26.13,1.08697
294.02301,45.853081,15.592,0,4,137.0,7.8495355,0.8716,0.3354,18.2,1.94,0.331,3.8692,234.0,18.21,88.96,1010.0,6035.0,4.22,-0.28,1.257,0.958,0.33,1.1,0.6,-0.00016,-9e-05,-0.92,2.6,2.8,4.0,2454975.475,0,0,0,0,246.13,1.2355
293.22391,38.033581,15.395,0,1,13.0,49.1015,0.0,0.2998,57.9,7.12,0.698,11.649,3020.3,46.7,89.14,485.0,6520.0,4.375,0.07,1.215,1.279,0.0,-1.59,0.121,-0.002,0.00089,0.067,-0.11,0.13,1.0,2455189.234,0,0,0,0,13.09,0.23661
281.55118,47.469959,13.661,0,1,1945.0,22.914194,0.848,0.4282,93.4,1.32,0.154,1.6169,195.0,3.315,87.33,1943.0,5630.0,4.505,0.36,0.954,1.064,0.143,-0.69,-0.15,5e-05,1.7e-05,-0.06,-0.04,0.07,1.0,2454966.286,0,0,0,0,3362.71,1.45015
289.09323,49.424484,8.261,0,1,335.0,52.55095,0.7696,0.594,37.1,34.39,0.06,1.7376,673.5,17.92,89.81,3145.0,4813.0,2.472,-0.22,13.652,2.016,0.0,7.9,-9.0,-0.00289,0.00364,-11.3,18.7,21.9,1.0,2455004.019,0,0,0,0,23135.72,6.8428
286.0192,48.866741,7.628,0,1,2003.0,13.460673,0.6362,0.2642,179.6,133.56,1.263,1.8621,1495.8,1.452852,29.64,5862.0,8523.0,3.559,-0.5,4.051,2.166,0.0,-1.89,0.68,0.000122,6.1e-05,7.6,-3.7,8.4,1.0,2455004.227,0,0,0,0,277887.7,0.20416
282.00031,48.542221,9.265,0,2,103.0,182.40976,0.8905,0.3715,267.4,8.25,0.042,4.3045,372.2,23.6858,89.9,1768.0,7221.0,3.488,-0.18,4.24,2.018,,-0.49,0.81,0.000238,,-3.41,3.9,5.2,1.0,2455094.539,0,0,0,0,2310.43,1.46058
282.00031,48.542221,9.265,0,2,166.0,20.88297,0.8888,0.3715,37.2,2.78,0.005,3.8417,42.2,15.658,89.98,2101.0,7221.0,3.488,-0.18,4.24,2.018,,1.0,0.5,-2.6e-05,,-2.6,2.8,3.9,2.0,2454956.499,0,0,0,0,4601.71,1.18707
295.80267,45.988079,9.862,0,1,26.0,40.118782,0.6507,0.3166,71.2,2.52,0.46,10.5616,195.6,34.9,89.25,675.0,6247.0,4.016,-0.12,1.762,1.174,0.0,2.09,1.0,-0.000167,-0.00014,2.31,1.1,2.57,1.0,2455005.983,0,0,0,0,49.16,0.28176
292.37476,37.630959,14.391,0,1,100.0,101.02754,0.4334,0.3071,105.3,5.24,0.963,3.0454,1428.2,13.815,86.0,848.0,6276.0,4.405,-0.32,1.041,1.001,0.006,0.09,-0.74,9e-05,0.00037,0.04,-0.24,0.24,1.0,2454965.831,0,0,0,0,122.34,0.27583
291.65097,38.028179,14.216,0,1,180.0,16.037548,0.7859,0.3511,19.1,2.67,0.993,2.172,205.2,6.41,81.09,1004.0,5973.0,4.371,-0.14,1.07,0.982,0.0,0.13,1.13,-7e-05,-0.00031,-0.1,0.0,0.1,1.0,2454970.61,0,0,0,0,240.11,0.09167
287.88812,39.078709,15.851,0,1,13.0,71.34807,0.2035,0.3556,71.6,10.4,0.968,3.1188,5372.3,154.5,89.64,366.0,5697.0,4.392,-0.52,0.92,0.76,0.798,-0.18,-0.17,0.0004,0.0002,0.12,-0.04,0.12,1.0,2454982.222,0,0,0,0,4.26,4.92398
293.80441,38.63913,16.893,0,3,57.0,10.898724,0.2071,0.5738,14.4,1.57,0.324,3.161,840.0,34.98,89.47,454.0,4362.0,4.722,-0.5,0.554,0.59,0.005,0.41,-4.22,0.0001,0.00066,0.2,-0.96,0.98,3.0,2455187.573,0,0,0,0,10.08,3.66619
296.38229,48.045311,16.084,0,4,67.0,45.10528,,0.43,52.8,86.13,1.8572,6.049,2319.8,8.63,77.35,660.0,5619.0,4.536,0.02,0.874,0.956,0.116,-0.01,-0.28,-0.00038,-0.00048,1.69,-2.67,3.16,1.0,2454976.002,0,0,0,0,44.83,0.04658
291.14249,37.061321,15.224,0,1,314.0,15.994445,0.102,0.5256,20.0,2.12,0.972,2.747,237.6,3.81,75.22,1046.0,5300.0,4.385,0.18,0.986,0.861,0.0,-0.62,-1.94,-0.000201,-0.00045,3.29,9.17,9.74,1.0,2454965.862,0,0,0,0,283.62,0.05666
299.78632,44.16954,16.237,0,1,200.0,529.8256,0.5628,0.3728,537.7,9.29,0.096,3.14126,12294.8,15.258,89.64,943.0,5695.0,4.526,-0.28,0.842,0.869,0.0,0.441,0.576,0.00954,0.0107,-2.48,-1.94,3.15,1.0,2455188.008,0,0,0,0,187.27,2.05742
290.21518,41.77597,16.324,0,3,355.0,8.954725,0.5422,0.4035,12.1,1.19,0.33,3.031,166.1,6.87,87.25,1242.0,5831.0,4.517,0.0,0.921,1.016,0.055,-3.0,-1.1,0.00031,0.00016,-0.74,0.2,0.77,3.0,2455186.815,0,0,0,0,562.48,0.762
288.0383,50.651611,14.261,0,1,508.0,249.06653,0.5493,0.5324,361.1,5.11,0.781,1.3874,2607.0,10.22,85.62,1164.0,5340.0,4.514,0.36,0.899,0.963,0.001,-0.299,-0.095,0.00015,0.00017,-0.029,-0.285,0.287,1.0,2454965.305,0,0,0,0,434.31,2.93173
296.54861,44.264671,14.581,0,1,44.0,22.413473,0.9888,0.3588,33.1,2.32,0.013,5.3698,464.8,44.37,89.98,621.0,5944.0,4.38,0.0,1.082,1.024,0.036,0.52,-0.4,-0.00022,0.00018,-0.26,-0.07,0.27,1.0,2454995.884,0,0,0,0,35.08,1.76632
294.76855,47.13279,15.65,0,1,139.0,28.363348,0.8136,0.3288,32.9,28.15,1.222,5.615,510.5,3.44,69.16,905.0,6161.0,4.454,0.07,1.053,1.15,0.477,-0.41,1.06,9e-05,-0.00014,0.21,-0.13,0.24,1.0,2454967.292,0,0,0,0,158.42,0.00774
292.65704,46.537338,17.249,0,1,44.0,595.1253,0.0441,0.2405,607.4,8.31,0.001,2.15663,34513.7,129.27,90.0,286.0,3748.0,4.796,-0.3,0.449,0.461,0.535,-0.104,0.307,0.0006,0.0005,0.005,-0.002,0.005,1.0,2455016.408,0,0,0,0,1.59,41.97515
299.10281,47.377781,12.796,0,1,160.0,2688.337,0.31,0.2412,1441.9,26.06,0.57,7.98574,14446.8,6.291,84.8,1626.0,7226.0,3.967,-0.4,2.079,1.461,0.0,0.0525,0.0544,0.00038,0.0002,-0.006,-0.005,0.008,1.0,2454969.047,0,0,0,0,1656.16,0.10154
287.61688,38.402321,16.184,0,1,25.0,81.96965,0.8655,0.3928,79.7,6.57,0.251,2.0153,5869.2,203.4,89.93,449.0,5681.0,4.551,-0.06,0.859,0.957,0.0,-0.41,-0.14,0.0058,0.0004,-0.146,-0.096,0.175,1.0,2455036.98,0,0,0,0,9.61,59.82806
281.60541,42.390419,16.027,0,1,58.0,27.987392,0.0216,0.4535,32.3,2.58,0.703,3.4769,1174.1,34.2,88.82,540.0,5310.0,4.608,-0.5,0.704,0.733,0.0,-2.71,0.47,-0.00057,0.00059,3.98,-1.93,4.42,1.0,2455190.494,0,0,0,0,20.15,1.79135
292.17859,42.005909,15.458,0,2,1447.0,34.98987,1.0,0.4133,46.9,1.98,0.041,1.6735,264.7,3.673,89.37,2149.0,5640.0,4.247,0.16,1.233,0.979,0.0,1.43,-0.42,0.000344,-0.000141,-4.99,1.69,5.27,1.0,2455188.949,0,0,0,0,5056.88,1.5282
292.17859,42.005909,15.458,0,2,290.0,20.459885,0.5444,0.4133,29.2,2.09,0.422,2.3156,282.2,9.7,87.51,1348.0,5640.0,4.247,0.16,1.233,0.979,0.0,1.18,-1.08,0.000508,-6e-06,-4.79,1.12,4.92,2.0,2455190.058,0,0,0,0,780.46,1.71209
287.02228,48.681938,13.976,0,1,4.0,180.64433,0.5555,0.4785,197.9,7.79,0.87,7.5646,5087.9,220.9,89.77,241.0,5597.0,4.515,0.28,0.931,1.032,0.897,0.221,-0.035,-7e-05,6e-05,0.096,-0.013,0.097,1.0,2455151.308,0,0,0,0,0.8,1.71206
292.22839,42.03537,14.074,0,1,13.0,149.48808,0.375,0.3511,163.2,8.48,0.966,5.1772,3215.6,69.73,89.21,415.0,6102.0,4.447,-0.08,1.016,1.049,0.009,-0.22,0.029,-0.00074,-0.00024,0.008,-0.035,0.036,1.0,2455116.236,0,0,0,0,6.98,0.64597
291.42755,41.878159,15.318,0,1,71.0,22.91305,0.7204,0.4473,25.3,5.74,0.033,3.3882,401.3,43.69,89.96,1051.0,5248.0,3.523,-0.58,2.892,1.017,0.0,-0.34,1.59,-3e-05,-0.00093,-0.33,0.24,0.41,1.0,2454981.551,0,0,0,0,288.04,4.35188
288.70087,44.70768,15.769,0,1,1158.0,332.99945,0.3853,0.3858,426.0,23.23,1.113,1.63253,10084.8,1.976,55.71,1982.0,5693.0,4.57,-0.24,0.816,0.911,0.0,-0.921,-0.104,-3e-05,0.0003,0.061,-0.207,0.216,1.0,2454967.107,0,0,0,0,3647.63,0.43962
291.44522,44.52869,16.456,0,1,15.0,173.86752,0.0318,0.4035,85.2,11.9,0.359,7.5193,17972.0,85.4,89.76,398.0,5750.0,4.538,-0.04,0.882,0.98,0.0,4.731,-1.0379,0.0082,-0.0006,,,,1.0,2455262.375,0,0,0,0,5.94,1.88933
295.29385,48.374802,13.463,0,1,192.0,29.791174,0.1345,0.3661,36.3,1.9,0.9,3.4919,149.7,7.03,82.65,1132.0,6065.0,4.251,0.07,1.31,1.115,0.0,0.61,-0.17,-0.000115,-0.00033,0.25,12.5,12.5,1.0,2454966.762,0,0,0,0,387.84,0.14035
289.88962,45.005669,15.209,0,1,4.0,133.10529,0.3719,0.4046,120.4,13.57,0.765,5.4434,9010.2,295.8,89.85,321.0,5798.0,4.224,0.14,1.306,1.041,0.006,-0.04,-0.01,-0.0002,0.0017,0.005,0.061,0.061,1.0,2455193.071,0,0,0,0,2.52,6.7682
295.80585,39.17799,16.254,0,1,13.0,45.888737,0.6822,0.398,52.0,5.04,0.007,2.5276,4733.0,260.0,90.0,364.0,5611.0,4.61,-0.5,0.737,0.824,0.242,0.57,-0.26,-0.0011,0.001,0.085,-0.1,0.13,1.0,2454993.977,0,0,0,0,4.14,50.74043
