ra,dec,koi_gmag,koi_disposition,koi_count,koi_num_transits,koi_max_mult_ev,koi_bin_oedp_sig,koi_ldm_coeff1,koi_model_snr,koi_prad,koi_impact,koi_duration,koi_depth,koi_dor,koi_incl,koi_teq,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_fwm_stat_sig,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_tce_plnt_num,koi_time0,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_insol,koi_srho
283.71088,47.86327,16.838,1,1,215.0,52.36939,1.0,0.6908,65.4,2.85,0.258,1.5821,1912.7,29.31,89.5,678.0,4537.0,4.648,0.21,0.672,0.761,0.77,-0.32,-0.24,-0.00017,-0.0001,0.11,0.01,0.11,1.0,2455004.603,0,0,0,0,50.04,13.09803
283.76547,47.804298,16.07,-1,1,501.0,34.570904,0.0505,0.5746,48.2,1.58,0.044,3.6129,397.9,5.827,89.56,1066.0,4989.0,4.504,0.1,0.819,0.781,0.0,-1.47,-0.53,0.00047,0.00019,1.08,2.19,2.44,1.0,2455003.738,0,1,1,1,305.34,0.51471
292.37613,47.880989,15.988,1,3,247.0,48.504196,0.7722,0.5256,60.6,2.55,0.092,3.0278,831.0,13.8015,89.62,919.0,5185.0,4.44,0.16,0.91,0.831,0.002,-0.71,-0.38,0.00055,0.0003,0.04,-0.02,0.04,1.0,2455004.807,0,0,0,0,168.99,1.73782
292.37613,47.880989,15.988,1,3,322.0,22.749151,0.923,0.5256,28.9,1.7,0.226,2.5984,363.3,11.51,88.88,1018.0,5185.0,4.44,0.16,0.91,0.831,0.464,0.2,0.38,-8e-05,-0.00013,-0.23,0.35,0.42,2.0,2454969.087,0,0,0,0,253.15,1.85636
292.37613,47.880989,15.988,1,3,141.0,9.776852,0.7742,0.5256,14.1,1.3,0.025,3.596,217.4,17.46,89.92,800.0,5185.0,4.44,0.16,0.91,0.831,0.013,3.8,-0.1,-0.00072,2e-05,-0.11,-0.14,0.18,3.0,2454965.803,0,0,0,0,97.03,1.5302
292.27374,37.671558,12.933,-1,1,,,,0.4707,994.0,41.5,0.9765,6.8057,24926.6,332.0,89.95,297.0,5543.0,4.081,0.44,1.58,1.103,0.002,-0.008,0.067,-0.0007,0.0006,0.001,0.037,0.037,1.0,2454999.342,0,1,0,0,1.84,4.63335
290.46512,47.92918,16.172,1,4,62.0,24.54073,0.6183,0.582,34.3,2.95,0.896,3.4555,857.2,24.6,87.91,530.0,4954.0,4.5,0.18,0.828,0.791,0.103,0.54,-0.26,-0.00064,0.0,-0.1,-0.04,0.11,1.0,2455004.536,0,0,0,0,18.64,0.60007
297.80826,47.946671,16.577,1,1,208.0,24.283327,0.036,0.5256,28.2,2.78,0.71,2.1717,934.7,13.14,86.9,917.0,5339.0,4.552,0.18,0.847,0.931,0.998,0.26,-0.17,2e-05,1e-05,-0.14,0.17,0.22,1.0,2455004.742,0,0,0,0,166.95,1.71827
294.26581,49.314091,15.926,1,1,311.0,52.913242,0.4302,0.3928,61.8,2.3,0.424,2.875,750.8,10.64,87.72,1012.0,5644.0,4.564,-0.14,0.831,0.928,0.0,-0.33,0.04,0.00073,6e-05,0.003,-0.065,0.066,1.0,2455004.897,0,0,0,0,247.87,1.24482
295.66522,49.351009,16.051,-1,1,882.0,130.6654,1.0,0.3858,181.1,4.53,0.86,1.5155,2211.7,4.67,79.38,1452.0,5714.0,4.563,-0.2,0.831,0.926,0.0,0.769,0.643,-0.00174,-0.0015,0.998,0.821,1.292,1.0,2455003.998,0,0,1,0,1054.12,0.84722
296.69861,49.316479,15.533,-1,1,3.0,96.96236,0.0001,0.4955,642.7,14.14,0.701,53.412,18090.6,85.24,89.53,196.0,5520.0,4.466,0.48,0.983,1.03,0.0,-0.551,0.435,0.0175,-0.0049,-1.286,0.227,1.306,1.0,2455042.044,0,1,1,0,0.35,0.02605
283.72592,49.479519,15.689,-1,1,13.0,73.10389,0.8513,0.3239,85.3,39.87,1.248,7.633,5123.3,29.1,87.54,505.0,6144.0,4.402,0.0,1.091,1.093,0.156,-0.43,0.28,0.001,-0.0009,0.063,-0.055,0.083,1.0,2455006.838,0,1,0,0,15.43,0.12411
291.72202,49.480869,15.654,1,1,37.0,31.946487,0.3889,0.4695,34.7,2.82,0.468,5.588,724.2,47.8,89.44,529.0,5481.0,4.369,0.16,1.036,0.915,0.0,0.36,-0.91,0.00067,-0.00104,-0.85,1.54,1.76,1.0,2455005.82,0,0,0,0,18.53,1.40588
286.99948,48.37579,16.559,1,3,26.0,37.877567,0.1551,0.582,51.2,3.86,0.045,4.6297,2213.9,70.75,89.96,439.0,5031.0,4.485,0.16,0.848,0.801,0.123,-0.43,0.0,0.00111,0.00012,0.12,0.0,0.12,2.0,2454998.004,0,0,0,0,8.76,3.9471
286.99948,48.37579,16.559,1,3,167.0,35.96252,0.7587,0.582,47.1,2.65,0.105,2.5819,1036.9,18.94,89.68,823.0,5031.0,4.485,0.16,0.848,0.801,0.236,-0.36,0.15,0.00042,-9e-05,0.03,0.05,0.06,3.0,2455004.301,0,0,0,0,108.3,3.28707
